@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
67,67,0,60,62,0,52,50,0,48,47
67,67,60,62,60,52,50,52,48,47,48
67,69,62,60,60,50,52,53,47,48,53
69,69,60,60,57,52,53,48,48,53,41
69,69,60,57,59,53,48,50,53,41,41
69,64,57,59,60,48,50,55,41,41,41
64,62,59,60,59,50,55,55,41,41,43
62,62,60,59,60,55,55,55,41,43,43
62,62,59,60,59,55,55,55,43,43,43
62,67,60,59,60,55,55,52,43,43,48
67,67,59,60,60,55,52,52,43,48,46
67,69,60,60,60,52,52,53,48,46,45
69,69,60,60,60,52,53,53,46,45,43
69,69,60,60,60,53,53,53,45,43,41
69,69,60,60,59,53,53,53,43,41,41
69,67,60,59,60,53,53,52,41,41,48
67,67,59,60,60,53,52,52,41,48,47
67,65,60,60,60,52,52,53,48,47,45
65,64,60,60,60,52,53,55,47,45,43
64,64,60,60,59,53,55,55,45,43,43
64,62,60,59,57,55,55,57,43,43,41
62,62,59,57,59,55,57,55,43,41,43
62,62,57,59,59,57,55,50,41,43,43
62,62,59,59,60,55,50,57,43,43,42
62,62,59,60,59,50,57,55,43,42,43
62,67,60,59,60,57,55,52,42,43,42
67,62,59,60,59,55,52,50,43,42,43
62,62,60,59,55,52,50,55,42,43,47
62,64,59,55,55,50,55,55,43,47,48
64,66,55,55,57,55,55,55,47,48,48
66,67,55,57,59,55,55,55,48,48,47
67,69,57,59,60,55,55,55,48,47,45
69,69,59,60,60,55,55,54,47,45,45
69,66,60,60,59,55,54,52,45,45,47
66,67,60,59,59,54,52,52,45,47,52
67,67,59,59,59,52,52,52,47,52,50
67,69,59,59,57,52,52,52,52,50,49
69,67,59,57,57,52,52,50,50,49,47
67,67,57,57,57,52,50,52,49,47,49
67,65,57,57,57,50,52,53,47,49,50
65,0,57,57,0,52,53,0,49,50,0
67,72,0,64,67,0,60,64,0,48,48
72,72,64,67,67,60,64,60,48,48,52
72,74,67,67,67,64,60,59,48,52,55
74,76,67,67,67,60,59,60,52,55,60
76,72,67,67,67,59,60,60,55,60,52
72,77,67,67,65,60,60,60,60,52,57
77,77,67,65,67,60,60,62,52,57,59
77,76,65,67,67,60,62,60,57,59,60
76,74,67,67,67,62,60,59,59,60,55
74,67,67,67,67,60,59,59,60,55,55
67,67,67,67,65,59,59,59,55,55,55
67,72,67,65,64,59,59,60,55,55,48
72,72,65,64,67,59,60,60,55,48,52
72,74,64,67,67,60,60,59,48,52,55
74,76,67,67,67,60,59,60,52,55,60
76,77,67,67,69,59,60,60,55,60,57
77,79,67,69,67,60,60,60,60,57,52
79,77,69,67,69,60,60,60,57,52,53
77,76,67,69,67,60,60,60,52,53,55
76,74,69,67,65,60,60,59,53,55,55
74,72,67,65,64,60,59,60,55,55,48
72,67,65,64,67,59,60,59,55,48,55
67,69,64,67,66,60,59,60,48,55,55
69,71,67,66,65,59,60,62,55,55,55
71,72,66,65,64,60,62,60,55,55,55
72,74,65,64,67,62,60,59,55,55,55
74,76,64,67,72,60,59,60,55,55,55
76,77,67,72,71,59,60,62,55,55,55
77,67,72,71,67,60,62,59,55,55,55
67,67,71,67,65,62,59,59,55,55,55
67,72,67,65,64,59,59,60,55,55,48
72,72,65,64,67,59,60,60,55,48,52
72,74,64,67,67,60,60,59,48,52,55
74,76,67,67,67,60,59,60,52,55,60
76,77,67,67,69,59,60,60,55,60,57
77,79,67,69,67,60,60,60,60,57,52
79,77,69,67,69,60,60,60,57,52,53
77,76,67,69,67,60,60,60,52,53,55
76,74,69,67,65,60,60,59,53,55,55
74,72,67,65,64,60,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
72,72,0,67,69,0,64,64,0,60,57
72,71,67,69,67,64,64,64,60,57,52
71,69,69,67,65,64,64,60,57,52,53
69,67,67,65,64,64,60,60,52,53,48
67,72,65,64,64,60,60,60,53,48,57
72,74,64,64,67,60,60,59,48,57,55
74,76,64,67,67,60,59,60,57,55,48
76,76,67,67,68,59,60,59,55,48,52
76,76,67,68,69,60,59,60,48,52,57
76,76,68,69,67,59,60,60,52,57,52
76,76,69,67,67,60,60,60,57,52,53
76,74,67,67,67,60,60,59,52,53,55
74,72,67,67,64,60,59,60,53,55,57
72,77,67,64,69,59,60,60,55,57,53
77,76,64,69,67,60,60,60,57,53,48
76,74,69,67,67,60,60,59,53,48,55
74,72,67,67,67,60,59,60,48,55,52
72,74,67,67,67,59,60,59,55,52,55
74,76,67,67,67,60,59,60,52,55,60
76,74,67,67,67,59,60,59,55,60,55
74,72,67,67,64,60,59,60,60,55,57
72,69,67,64,65,59,60,60,55,57,53
69,71,64,65,65,60,60,62,57,53,50
71,72,65,65,67,60,62,64,53,50,48
72,79,65,67,67,62,64,62,50,48,59
79,76,67,67,67,64,62,60,48,59,60
76,72,67,67,67,62,60,60,59,60,52
72,74,67,67,67,60,60,59,60,52,55
74,77,67,67,65,60,59,57,52,55,50
77,77,67,65,65,59,57,59,55,50,50
77,76,65,65,67,57,59,60,50,50,52
76,76,65,67,67,59,60,60,50,52,53
76,74,67,67,67,60,60,59,52,53,55
74,74,67,67,65,60,59,59,53,55,55
74,72,67,65,64,59,59,60,55,55,48
72,72,65,64,65,59,60,57,55,48,53
72,72,64,65,64,60,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
60,62,0,55,55,0,52,55,0,48,47
62,64,55,55,55,52,55,55,48,47,48
64,65,55,55,60,55,55,53,47,48,45
65,64,55,60,60,55,53,55,48,45,48
64,64,60,60,59,53,55,55,45,48,48
64,62,60,59,57,55,55,53,48,48,41
62,60,59,57,57,55,53,53,48,41,41
60,60,57,57,57,53,53,52,41,41,41
60,60,57,57,55,53,52,52,41,41,48
60,64,57,55,55,52,52,48,41,48,48
64,64,55,55,55,52,48,48,48,48,47
64,65,55,55,60,48,48,48,48,47,45
65,65,55,60,60,48,48,50,47,45,45
65,67,60,60,59,48,50,52,45,45,43
67,69,60,59,57,50,52,53,45,43,41
69,67,59,57,58,52,53,50,43,41,43
67,67,57,58,58,53,50,52,41,43,43
67,65,58,58,60,50,52,53,43,43,45
65,64,58,60,60,52,53,55,43,45,48
64,62,60,60,57,53,55,53,45,48,41
62,60,60,57,57,55,53,53,48,41,41
60,60,57,57,60,53,53,53,41,41,45
60,60,57,60,60,53,53,52,41,45,45
60,67,60,60,59,53,52,50,45,45,43
67,65,60,59,60,52,50,48,45,43,45
65,64,59,60,60,50,48,55,43,45,48
64,62,60,60,57,48,55,53,45,48,53
62,62,60,57,59,55,53,53,48,53,53
62,64,57,59,60,53,53,55,53,53,52
64,67,59,60,60,53,55,55,53,52,52
67,67,60,60,59,55,55,54,52,52,50
67,67,60,59,57,55,54,52,52,50,48
