@relation mididateWEKA
@attribute s {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
0,64,67,0,60,60,0,55,52,0,48,48
64,67,69,60,60,60,55,52,53,48,48,41
67,69,67,60,60,60,52,53,52,48,41,48
69,67,67,60,60,60,53,52,55,41,48,52
67,67,72,60,60,64,52,55,55,48,52,48
67,72,71,60,64,62,55,55,55,52,48,43
72,71,72,64,62,64,55,55,55,48,43,48
71,72,71,62,64,64,55,55,52,43,48,48
72,71,71,64,64,67,55,52,55,48,48,48
71,71,71,64,67,64,52,55,52,48,48,48
71,71,72,67,64,64,55,52,53,48,48,53
71,72,71,64,64,64,52,53,52,48,53,48
72,71,71,64,64,62,53,52,55,53,48,52
71,71,69,64,62,65,52,55,57,48,52,50
71,69,67,62,65,64,55,57,60,52,50,57
69,67,71,65,64,65,57,60,59,50,57,55
67,71,67,64,65,64,60,59,55,57,55,48
71,67,67,65,64,64,59,55,57,55,48,45
67,67,67,64,64,62,55,57,55,48,45,52
67,67,67,64,62,64,57,55,55,45,52,48
67,67,65,62,64,60,55,55,53,52,48,50
67,65,64,64,60,60,55,53,52,48,50,45
65,64,65,60,60,62,53,52,55,50,45,43
64,65,67,60,62,59,52,55,55,45,43,52
65,67,67,62,59,60,55,55,52,43,52,48
67,67,69,59,60,60,55,52,53,52,48,53
67,69,67,60,60,60,52,53,52,48,53,48
